event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,137,default_vs_context,0.08991725783634572,1240,19,-0.07059567703095149
answer_reveal,137,student_state_vs_domain,-0.00011031276020909142,1240,19,-0.07059567703095149
answer_reveal,138,default_vs_context,0.090168561046088,1280,21,-0.06801053391877224
answer_reveal,138,student_state_vs_domain,-0.00025423543849797947,1280,21,-0.06801053391877224
answer_reveal,139,default_vs_context,0.09323145139940585,1320,19,-0.07630655293563075
answer_reveal,139,student_state_vs_domain,0.0002903542077245663,1320,19,-0.07630655293563075
answer_reveal,140,default_vs_context,0.08907581379722972,1320,19,-0.0692196470017895
answer_reveal,140,student_state_vs_domain,-0.0001800060110361823,1320,19,-0.0692196470017895
answer_reveal,141,default_vs_context,0.08735070807409899,1200,17,-0.07083894595544525
answer_reveal,141,student_state_vs_domain,-0.00013114957881307787,1200,17,-0.07083894595544525
answer_reveal,142,default_vs_context,0.09198982623757034,1240,21,-0.08002254945516728
answer_reveal,142,student_state_vs_domain,0.00032000895306771165,1240,21,-0.08002254945516728
answer_reveal,143,default_vs_context,0.09069422818437825,1360,19,-0.07782895970319667
answer_reveal,143,student_state_vs_domain,-0.0008763541135013708,1360,19,-0.07782895970319667
answer_reveal,144,default_vs_context,0.09013974791595705,1240,18,-0.07634819557116271
answer_reveal,144,student_state_vs_domain,-0.0002131330225356859,1240,18,-0.07634819557116271
answer_reveal,145,default_vs_context,0.08988712148408676,1240,20,-0.0708088749323049
answer_reveal,145,student_state_vs_domain,0.00043342726194559034,1240,20,-0.0708088749323049
answer_reveal,146,default_vs_context,0.09143073028224233,1200,19,-0.06947770320123367
answer_reveal,146,student_state_vs_domain,-0.0001464679192009835,1200,19,-0.06947770320123367
answer_reveal,147,default_vs_context,0.0896114746304188,1320,21,-0.0816415323642132
answer_reveal,147,student_state_vs_domain,0.0003557818863256512,1320,21,-0.0816415323642132
answer_reveal,148,default_vs_context,0.09145894710614252,1280,20,-0.08229440420016498
answer_reveal,148,student_state_vs_domain,0.00012036630592487246,1280,20,-0.08229440420016498
answer_reveal,149,default_vs_context,0.09104091871822241,1360,20,-0.07529404314417477
answer_reveal,149,student_state_vs_domain,0.0006024417833852824,1360,20,-0.07529404314417477
answer_reveal,150,default_vs_context,0.08932025596507502,1280,19,-0.07653006410515904
answer_reveal,150,student_state_vs_domain,-0.00025093372228329747,1280,19,-0.07653006410515904
answer_reveal,151,default_vs_context,0.0888097392617063,1240,19,-0.07716427728693381
answer_reveal,151,student_state_vs_domain,0.00018760943365554728,1240,19,-0.07716427728693381
answer_reveal,152,default_vs_context,0.09080431326439287,1280,20,-0.0781572044768235
answer_reveal,152,student_state_vs_domain,0.00040264554404432357,1280,20,-0.0781572044768235
answer_reveal,153,default_vs_context,0.08875884780905231,1240,18,-0.08182903902922135
answer_reveal,153,student_state_vs_domain,0.00011493922882464813,1240,18,-0.08182903902922135
answer_reveal,154,default_vs_context,0.09220246073654165,1240,19,-0.08070038803924973
answer_reveal,154,student_state_vs_domain,-0.0011942387334954105,1240,19,-0.08070038803924973
answer_reveal,155,default_vs_context,0.08803216209808573,1440,16,-0.04589278006158848
answer_reveal,155,student_state_vs_domain,5.0121944469599944e-05,1440,16,-0.04589278006158848
answer_reveal,156,default_vs_context,0.09128423378195001,1320,18,-0.07547718666904092
answer_reveal,156,student_state_vs_domain,-4.551915812188445e-05,1320,18,-0.07547718666904092
answer_reveal,157,default_vs_context,0.08947499263462458,1200,21,-0.07905547323850695
answer_reveal,157,student_state_vs_domain,0.0002927535691851224,1200,21,-0.07905547323850695
answer_reveal,158,default_vs_context,0.09091615010086238,1200,18,-0.07535686702752736
answer_reveal,158,student_state_vs_domain,-4.11741894697365e-05,1200,18,-0.07535686702752736
answer_reveal,159,default_vs_context,0.08470639229114933,1200,17,-0.07950800491111291
answer_reveal,159,student_state_vs_domain,-0.0002107722017843372,1200,17,-0.07950800491111291
answer_reveal,160,default_vs_context,0.0911872307647999,1280,21,-0.08110189912912832
answer_reveal,160,student_state_vs_domain,0.0002159576696988269,1280,21,-0.08110189912912832
answer_reveal,161,default_vs_context,0.09023359570565972,1320,21,-0.06945830869365174
answer_reveal,161,student_state_vs_domain,0.00035657987392849477,1320,21,-0.06945830869365174
