arm,event,comparison,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note,panel
peer_control,affect_acknowledgement,conditional,32,-0.002252828029677106,-0.007483433311593464,0.003334272248942707,0.0030691999229399388,0.7657712887915107,,drop_generator_fixed_forecasts:MiniMax-M3
peer_control,affect_acknowledgement,default,32,-0.013878330448642475,-0.01895999269053706,-0.008908773587324264,0.0034362188223299303,0.9998360584243952,,drop_generator_fixed_forecasts:MiniMax-M3
peer_control,answer_reveal,conditional,32,-0.0012988782248838436,-0.0028282549282836107,0.00012012460042398842,0.0008140962274402103,0.9396252190457581,,drop_generator_fixed_forecasts:MiniMax-M3
peer_control,answer_reveal,default,32,0.1133928385027871,0.091263329879195,0.13385815331615936,0.013110137060770766,4.5465591006330407e-10,,drop_generator_fixed_forecasts:MiniMax-M3
peer_control,reasoning_elicitation,conditional,32,-0.0009545406626688911,-0.0014820371189188226,-0.0003330860188868234,0.0003633425164791853,0.9933669602344625,,drop_generator_fixed_forecasts:MiniMax-M3
peer_control,reasoning_elicitation,default,32,0.16630106596185423,0.15761903603531358,0.1741496147984904,0.004469539255948022,1.3604289227431167e-27,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,affect_acknowledgement,conditional,32,0.004355044273236878,0.0014737949553205207,0.007261314506811198,0.0015515178010581288,0.004284996182308246,,drop_generator_fixed_forecasts:deepseek-v4-pro
canonical,affect_acknowledgement,default,32,0.03121131903657814,0.026341874014167106,0.03594110462576561,0.0026183180365627065,2.062718290778728e-13,,drop_generator_fixed_forecasts:deepseek-v4-pro
canonical,answer_reveal,conditional,32,-0.0008686223245116913,-0.0017197796292124858,4.680779742759802e-05,0.0004601797778666328,0.9657617711580273,,drop_generator_fixed_forecasts:deepseek-v4-pro
canonical,answer_reveal,default,32,0.10901710235282566,0.09164928732417642,0.12673690847806723,0.011860395646624652,1.1527125540341262e-10,,drop_generator_fixed_forecasts:deepseek-v4-pro
