classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
word_svm,standard,focus,deepseek-v4-flash,469,0.5287846481876333,0.5607675906183369,0.031982942430703626,-0.023454157782515993,0.08742004264392324
word_svm,standard,focus,deepseek-v4-pro,469,0.5522388059701493,0.6247334754797441,0.07249466950959488,0.019189765458422176,0.1279317697228145
word_svm,standard,focus,doubao-seed-2.0-lite,469,0.5714285714285714,0.6396588486140725,0.06823027718550106,0.010660980810234541,0.1257995735607676
word_svm,standard,focus,doubao-seed-2.0-pro,469,0.5266524520255863,0.6183368869936035,0.09168443496801706,0.03411513859275053,0.1535181236673774
word_svm,standard,focus,glm-5.2,469,0.5884861407249466,0.6204690831556503,0.031982942430703626,-0.0255863539445629,0.09168443496801706
word_svm,standard,focus,minimax-m2.7,469,0.4051172707889126,0.605543710021322,0.20042643923240938,0.14285714285714285,0.2579957356076759
word_svm,standard,focus,minimax-m3,469,0.4136460554371002,0.5671641791044776,0.1535181236673774,0.09594882729211088,0.208955223880597
word_svm,standard,focus,qwen3.5-4b,469,0.4584221748400853,0.5522388059701493,0.09381663113006397,0.03411513859275053,0.1535181236673774
word_svm,standard,focus,qwen3.8-27b,469,0.44349680170575695,0.5031982942430704,0.05970149253731343,0.0,0.11940298507462686
word_svm,standard,generic,deepseek-v4-flash,77,0.12987012987012986,0.18181818181818182,0.05194805194805195,-0.03896103896103896,0.14285714285714285
word_svm,standard,generic,deepseek-v4-pro,77,0.1038961038961039,0.16883116883116883,0.06493506493506493,-0.012987012987012988,0.14285714285714285
word_svm,standard,generic,doubao-seed-2.0-lite,77,0.2857142857142857,0.23376623376623376,-0.05194805194805195,-0.15584415584415584,0.03896103896103896
word_svm,standard,generic,doubao-seed-2.0-pro,77,0.15584415584415584,0.22077922077922077,0.06493506493506493,-0.05194805194805195,0.18181818181818182
word_svm,standard,generic,glm-5.2,77,0.14285714285714285,0.22077922077922077,0.07792207792207792,-0.012987012987012988,0.18181818181818182
word_svm,standard,generic,minimax-m2.7,77,0.03896103896103896,0.11688311688311688,0.07792207792207792,0.0,0.15584415584415584
word_svm,standard,generic,minimax-m3,77,0.15584415584415584,0.12987012987012986,-0.025974025974025976,-0.12987012987012986,0.07792207792207792
word_svm,standard,generic,qwen3.5-4b,77,0.09090909090909091,0.23376623376623376,0.14285714285714285,0.05194805194805195,0.23376623376623376
word_svm,standard,generic,qwen3.8-27b,77,0.11688311688311688,0.11688311688311688,0.0,-0.06493506493506493,0.06493506493506493
word_svm,standard,probing,deepseek-v4-flash,410,0.22682926829268293,0.3926829268292683,0.16585365853658537,0.1073170731707317,0.22682926829268293
word_svm,standard,probing,deepseek-v4-pro,410,0.28536585365853656,0.3926829268292683,0.1073170731707317,0.04878048780487805,0.16341463414634147
word_svm,standard,probing,doubao-seed-2.0-lite,410,0.2,0.2975609756097561,0.0975609756097561,0.041463414634146344,0.15121951219512195
word_svm,standard,probing,doubao-seed-2.0-pro,410,0.2097560975609756,0.33658536585365856,0.12682926829268293,0.07317073170731707,0.18292682926829268
word_svm,standard,probing,glm-5.2,410,0.275609756097561,0.4146341463414634,0.13902439024390245,0.08048780487804878,0.1975609756097561
word_svm,standard,probing,minimax-m2.7,410,0.1902439024390244,0.36829268292682926,0.17804878048780487,0.12439024390243902,0.23170731707317074
word_svm,standard,probing,minimax-m3,410,0.25853658536585367,0.3975609756097561,0.13902439024390245,0.08536585365853659,0.1975609756097561
word_svm,standard,probing,qwen3.5-4b,410,0.17560975609756097,0.34146341463414637,0.16585365853658537,0.1073170731707317,0.22439024390243903
word_svm,standard,probing,qwen3.8-27b,410,0.21707317073170732,0.3951219512195122,0.17804878048780487,0.11707317073170732,0.23658536585365852
word_svm,standard,telling,deepseek-v4-flash,48,0.375,0.125,-0.25,-0.3958333333333333,-0.08333333333333333
word_svm,standard,telling,deepseek-v4-pro,48,0.2916666666666667,0.08333333333333333,-0.20833333333333334,-0.3541666666666667,-0.0625
word_svm,standard,telling,doubao-seed-2.0-lite,48,0.3541666666666667,0.041666666666666664,-0.3125,-0.4583333333333333,-0.1875
word_svm,standard,telling,doubao-seed-2.0-pro,48,0.3125,0.041666666666666664,-0.2708333333333333,-0.3958333333333333,-0.14583333333333334
word_svm,standard,telling,glm-5.2,48,0.2916666666666667,0.0625,-0.22916666666666666,-0.375,-0.08333333333333333
word_svm,standard,telling,minimax-m2.7,48,0.5416666666666666,0.0625,-0.4791666666666667,-0.6458333333333334,-0.3125
word_svm,standard,telling,minimax-m3,48,0.4375,0.125,-0.3125,-0.4583333333333333,-0.14583333333333334
word_svm,standard,telling,qwen3.5-4b,48,0.375,0.20833333333333334,-0.16666666666666666,-0.3333333333333333,0.0
word_svm,standard,telling,qwen3.8-27b,48,0.5625,0.25,-0.3125,-0.4791666666666667,-0.14583333333333334
